,roundNum,tick,hp,armor,activeWeapon,isBlinded,isAirborne,isDucking,isStanding,isScoped,isWalking,equipmentValue,cash,hasHelmet,kills_from_avg,deaths_from_avg,total_hp_enemy,total_hp_team,num_enemy_alive,num_team_alive,enemy_in_range_200,enemy_in_range_500,enemy_in_range_1000,enemy_in_range_2000,enemy_hp_in_range_500,enemy_hp_in_range_1000,enemy_hp_in_range_2000,enemy_equipment_in_range_500,enemy_equipment_in_range_1000,enemy_equipment_in_range_2000,team_in_range_200,team_in_range_500,team_in_range_1000,equipment_value_team,equipment_value_enemy,distance_closest_enemy,hp_closest_enemy,weapon_closest_enemy,isAlive,isDead,Player
0,1,0,100,0,1,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,5,3800,4250,3283.454839426637,100,1,1,0.0,1
1,1,128,100,0,1,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,5,3800,4250,3065.4005834261193,100,1,1,0.0,1
2,1,256,100,0,1,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4,3800,4250,2832.684517484186,100,1,1,0.0,1
3,1,384,100,0,1,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,3800,4250,2637.1704756593563,100,1,1,0.0,1
4,1,512,100,0,1,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,3800,4250,2424.093572010046,100,1,1,0.0,1
5,1,640,100,0,5,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,3800,4250,2172.5432753078408,100,2,1,0.0,1
6,1,768,100,0,5,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,1,0.0,0.0,100.0,0.0,0.0,700.0,1,1,2,3800,4250,1878.3868701693623,100,2,1,0.0,1
7,1,896,100,0,2,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,2,0.0,0.0,100.0,0.0,0.0,800.0,1,1,2,3800,4250,1772.4750214006174,100,2,1,0.0,1
8,1,1024,100,0,2,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,2,0.0,0.0,100.0,0.0,0.0,800.0,1,1,1,3800,4250,1687.2868417502325,100,2,1,0.0,1
9,1,1152,100,0,2,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,2,0.0,0.0,100.0,0.0,0.0,800.0,1,1,1,3800,4250,1707.0136199213978,100,2,1,0.0,1
10,1,1280,100,0,2,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,2,0.0,0.0,100.0,0.0,0.0,800.0,1,1,1,3800,4250,1769.3964273750923,100,2,1,0.0,1
11,1,1408,100,0,2,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,2,0.0,0.0,100.0,0.0,0.0,800.0,1,1,1,3800,4250,1881.915347214069,100,2,1,0.0,1
12,1,1536,100,0,1,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3800,4250,2046.9952386491152,100,2,1,0.0,1
13,1,1664,100,0,1,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3800,4250,2189.343195430037,100,2,1,0.0,1
14,1,1792,100,0,5,0,1,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3800,4250,2189.902922219235,100,2,1,0.0,1
15,1,1920,100,0,2,0,1,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3800,4250,2204.243644934386,100,2,1,0.0,1
